sku,brand,pdf_name,manual_type,pdf_location
RBV4236IT,Majestic,"RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf",owner,"Majestic/RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf"
RBV4842IH,Majestic,"RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf",owner,"Majestic/RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf"
RBV4842IT,Majestic,"RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf",owner,"Majestic/RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf"
SB100,Majestic,SB100 - BILTMORE - INSTALLATION.pdf,installation,Majestic/SB100 - BILTMORE - INSTALLATION.pdf
SB100HB,Majestic,SB100 - BILTMORE - INSTALLATION.pdf,installation,Majestic/SB100 - BILTMORE - INSTALLATION.pdf
SB100,Majestic,SB100 - BILTMORE.pdf,owner,Majestic/SB100 - BILTMORE.pdf
ASH42,Majestic,ASH42 - ASHLAND.pdf,owner,Majestic/ASH42 - ASHLAND.pdf
ASH36,Majestic,Ashland 36 - Installation Manual - Wood fireplace (ASH36).pdf,installation,Majestic/Ashland 36 - Installation Manual - Wood fireplace (ASH36).pdf
SA36C,Majestic,"SA36C, SA42C - SOVERIGN.pdf",owner,"Majestic/SA36C, SA42C - SOVERIGN.pdf"
SA42C,Majestic,"SA36C, SA42C - SOVERIGN.pdf",owner,"Majestic/SA36C, SA42C - SOVERIGN.pdf"
OXDV30SP,Majestic,OXDV30SP - OXFORD DV STOVE.pdf,,Majestic/OXDV30SP - OXFORD DV STOVE.pdf
MDVI30IN,Majestic,"MDVI30,35 - RUBY - INSTALLATION.pdf",installation,"Majestic/MDVI30,35 - RUBY - INSTALLATION.pdf"
MDVI35IN,Majestic,"MDVI30,35 - RUBY - INSTALLATION.pdf",installation,"Majestic/MDVI30,35 - RUBY - INSTALLATION.pdf"
MDVI30IL,Majestic,"MDVI30,35 - RUBY - INSTALLATION.pdf",installation,"Majestic/MDVI30,35 - RUBY - INSTALLATION.pdf"
MDVI35IL,Majestic,"MDVI30,35 - RUBY - INSTALLATION.pdf",installation,"Majestic/MDVI30,35 - RUBY - INSTALLATION.pdf"
