ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
majestic-echelon-ii-48-inch-see-through-linear-direct-vent-gas-fireplace-echel48stin-c,Majestic,Gas Fireplaces,ECHEL48STIN-C,ECHEL48STIN,Echelon II,pdf/echel48stin-c.pdf,echel48stin-c,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
majestic-reveal-42-b-vent-gas-fireplace-rbv4842,Majestic,Gas Fireplaces,RBV4842IT,RBV4842,Reveal,pdf/rbv4842it.pdf,rbv4842it,"Majestic/RBV4236, RBV4842 - REVEAL B-VENT - INSTALLATION.pdf"
majestic-meridian-42-direct-vent-gas-fireplace-merid42,Majestic,Gas Fireplaces,MERID42IN,MERID42,Meridian,pdf/merid42in.pdf,merid42in,"Majestic/MERID36,42 - MERIDIAN - INSTALLATION.pdf"
majestic-villa-42-inch-outdoor-vent-free-gas-fireplace-odvillag-42,Majestic,Outdoor Gas Fireplaces,ODVILLAG-42T,ODVILLAG-42,Villa,pdf/odvillag-42t.pdf,odvillag-42t,"Majestic/JADE 32, 42 - INSTALLATION.pdf"
empire-tahoe-premium-36-multi-sided-direct-vent-gas-fireplace-dvp36,Empire,Gas Fireplaces,DVP36PP32EN,DVP36,Tahoe,pdf/dvp36pp32en.pdf,dvp36pp32en,Empire/DVP36PPSPENP-3.pdf
ascent-x-70-gx70nte-electronic-direct-vent-natural-gas-fireplace,Napoleon,Gas Fireplaces,GX70NTE-1,GX70,Ascent X,pdf/gx70nte-1.pdf,gx70nte-1,Napoleon/Ascent-X-70-Series-Manual.pdf
majestic-pearl-ii-36-inch-peninsula-direct-vent-gas-fireplace-pearl36prin,Majestic,Gas Fireplaces,PEARL36PRIN,PEARL36PRIN,Pearl II,pdf/pearl36prin.pdf,pearl36prin,"Majestic/PEARL36STIN,PRIN PEARL II - INSTALLATION.pdf"
empire-boulevard-36-linear-vent-free-gas-fireplace-vflb36fp,Empire,Gas Fireplaces,VFLB36FP30N,VFLB36,Boulevard,pdf/vflb36fp30n.pdf,vflb36fp30n,Empire/VFLB3648FP390NP-1-Installer-Copy-1.pdf
majestic-echelon-60-driftwood-log-set-logs-drtwood-60,Majestic,Media Kits,LOGS-DRTWOOD-60,,Echelon,pdf/logs-drtwood-60.pdf,logs-drtwood-60,"Majestic/CFL-18-C,24-C, 30-C_owners-manual.pdf"
majestic-royalton-36-radiant-wood-burning-fireplace-be36,Majestic,Wood Fireplaces,BE36,,Royalton,pdf/be36.pdf,be36,"Majestic/BE36,42 - ROYALTON - INSTALLATION.pdf"
